IDADE;SEXO;ANO;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
90;Homens;2020;BR;Brasil;0,2444;4,09161;1;11.222;11.222;45.918; -   ;45.918;4,09
0;Mulheres;2021;BR;Brasil;0,01116;0,08313;0,01104;100.000;1.104;98.987;0,98833;7.642.401;76,42
1;Mulheres;2021;BR;Brasil;0,00041;1,50602;0,00163;98.896;162;395.179;0,99853;7.543.414;76,28
5;Mulheres;2021;BR;Brasil;0,00018;2,36723;0,00088;98.734;87;493.441;0,99907;7.148.235;72,4
10;Mulheres;2021;BR;Brasil;0,00022;2,70275;0,00112;98.647;110;492.981;0,99834;6.654.794;67,46
15;Mulheres;2021;BR;Brasil;0,00047;2,73056;0,00234;98.537;230;492.161;0,99712;6.161.813;62,53
20;Mulheres;2021;BR;Brasil;0,00068;2,64217;0,00339;98.306;333;490.745;0,99601;5.669.652;57,67
25;Mulheres;2021;BR;Brasil;0,00093;2,635;0,00465;97.973;456;488.787;0,99448;5.178.907;52,86
30;Mulheres;2021;BR;Brasil;0,00131;2,64897;0,00654;97.517;637;486.088;0,99203;4.690.120;48,1
35;Mulheres;2021;BR;Brasil;0,00193;2,65433;0,00961;96.880;931;482.215;0,98838;4.204.032;43,39
40;Mulheres;2021;BR;Brasil;0,0028;2,65473;0,01393;95.949;1.336;476.610;0,98291;3.721.817;38,79
45;Mulheres;2021;BR;Brasil;0,00417;2,64802;0,02066;94.612;1.955;468.464;0,97529;3.245.207;34,3
50;Mulheres;2021;BR;Brasil;0,00595;2,64585;0,02933;92.657;2.718;456.888;0,96399;2.776.743;29,97
55;Mulheres;2021;BR;Brasil;0,00892;2,64318;0,04368;89.939;3.929;440.437;0,94744;2.319.855;25,79
60;Mulheres;2021;BR;Brasil;0,01293;2,63435;0,06274;86.011;5.396;417.287;0,92311;1.879.418;21,85
65;Mulheres;2021;BR;Brasil;0,01935;2,60251;0,09245;80.614;7.453;385.204;0,8948;1.462.131;18,14
70;Mulheres;2021;BR;Brasil;0,02567;2,61168;0,12092;73.162;8.847;344.679;0,84713;1.076.927;14,72
75;Mulheres;2021;BR;Brasil;0,04275;2,6296;0,19407;64.315;12.481;291.988;0,75358;732.248;11,39
80;Mulheres;2021;BR;Brasil;0,07331;2,57422;0,31122;51.833;16.131;220.035;0,61344;440.261;8,49
85;Mulheres;2021;BR;Brasil;0,12706;2,46195;0,48039;35.702;17.151;134.979;0,38709;220.226;6,17
90;Mulheres;2021;BR;Brasil;0,21761;4,59528;1;18.551;18.551;85.247; -   ;85.247;4,6
0;Homens;2021;BR;Brasil;0,01341;0,08059;0,01325;100.000;1.325;98.782;0,98606;6.925.274;69,25
1;Homens;2021;BR;Brasil;0,00048;1,61306;0,00193;98.675;190;394.247;0,99824;6.826.492;69,18
5;Homens;2021;BR;Brasil;0,00021;2,39628;0,00103;98.485;102;492.161;0,99888;6.432.244;65,31
10;Homens;2021;BR;Brasil;0,0003;2,91721;0,0015;98.384;148;491.609;0,99598;5.940.083;60,38
15;Homens;2021;BR;Brasil;0,00154;2,94675;0,00766;98.236;752;489.634;0,98933;5.448.473;55,46
20;Homens;2021;BR;Brasil;0,00261;2,61776;0,01296;97.483;1.263;484.407;0,98642;4.958.840;50,87
25;Homens;2021;BR;Brasil;0,00278;2,53377;0,01378;96.220;1.326;477.830;0,98542;4.474.432;46,5
30;Homens;2021;BR;Brasil;0,00315;2,57139;0,01565;94.894;1.485;470.864;0,98239;3.996.602;42,12
35;Homens;2021;BR;Brasil;0,00403;2,60381;0,01998;93.409;1.866;462.575;0,97695;3.525.738;37,75
40;Homens;2021;BR;Brasil;0,0054;2,6227;0,02667;91.543;2.442;451.910;0,96822;3.063.163;33,46
45;Homens;2021;BR;Brasil;0,00767;2,63009;0,03769;89.101;3.358;437.548;0,95511;2.611.253;29,31
50;Homens;2021;BR;Brasil;0,01089;2,62608;0,0531;85.743;4.553;417.909;0,93635;2.173.704;25,35
55;Homens;2021;BR;Brasil;0,01567;2,61227;0,07554;81.191;6.133;391.308;0,9113;1.755.795;21,63
60;Homens;2021;BR;Brasil;0,02184;2,60105;0,10378;75.057;7.789;356.600;0,87605;1.364.487;18,18
65;Homens;2021;BR;Brasil;0,03167;2,58057;0,1471;67.268;9.895;312.401;0,82892;1.007.887;14,98
70;Homens;2021;BR;Brasil;0,04414;2,55802;0,19922;57.373;11.430;258.955;0,7643;695.486;12,12
75;Homens;2021;BR;Brasil;0,06506;2,53079;0,28029;45.943;12.877;197.919;0,66967;436.532;9,5
80;Homens;2021;BR;Brasil;0,09808;2,47767;0,39314;33.066;12.999;132.541;0,53727;238.612;7,22
85;Homens;2021;BR;Brasil;0,15586;2,37617;0,55311;20.066;11.099;71.211;0,32866;106.072;5,29
90;Homens;2021;BR;Brasil;0,25724;3,88746;1;8.968;8.968;34.861; -   ;34.861;3,89
0;Mulheres;2022;BR;Brasil;0,01156;0,08432;0,01144;100.000;1.144;98.953;0,98771;7.879.318;78,79
1;Mulheres;2022;BR;Brasil;0,00053;1,50538;0,00212;98.856;210;394.901;0,99819;7.780.365;78,7
5;Mulheres;2022;BR;Brasil;0,00021;2,33196;0,00104;98.646;102;492.959;0,99894;7.385.464;74,87
10;Mulheres;2022;BR;Brasil;0,00025;2,6577;0,00124;98.544;122;492.435;0,99832;6.892.506;69,94
15;Mulheres;2022;BR;Brasil;0,00044;2,68864;0,00221;98.422;218;491.608;0,99734;6.400.071;65,03
20;Mulheres;2022;BR;Brasil;0,00061;2,60753;0,00307;98.204;301;490.301;0,9966;5.908.463;60,16
25;Mulheres;2022;BR;Brasil;0,00075;2,58729;0,00373;97.903;365;488.635;0,99583;5.418.163;55,34
30;Mulheres;2022;BR;Brasil;0,00094;2,61426;0,0047;97.538;458;486.597;0,99448;4.929.528;50,54
35;Mulheres;2022;BR;Brasil;0,0013;2,64398;0,0065;97.080;631;483.912;0,99212;4.442.931;45,77
40;Mulheres;2022;BR;Brasil;0,0019;2,65366;0,00948;96.449;914;480.098;0,98848;3.959.019;41,05
45;Mulheres;2022;BR;Brasil;0,00278;2,64721;0,01381;95.534;1.319;474.567;0,98346;3.478.921;36,42
50;Mulheres;2022;BR;Brasil;0,00397;2,64913;0,01967;94.215;1.853;466.720;0,97597;3.004.354;31,89
