IDADE;SEXO;ANO;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
5;Homens;2022;BR;Brasil;0,00025;2,35731;0,00123;98.426;121;491.813;0,99875;6.717.969;68,25
10;Homens;2022;BR;Brasil;0,00032;2,86948;0,00158;98.306;155;491.198;0,9961;6.226.157;63,33
15;Homens;2022;BR;Brasil;0,00145;2,92759;0,00723;98.151;710;489.282;0,98986;5.734.959;58,43
20;Homens;2022;BR;Brasil;0,00249;2,61232;0,0124;97.441;1.208;484.320;0,98721;5.245.677;53,83
25;Homens;2022;BR;Brasil;0,00255;2,50702;0,01267;96.233;1.219;478.125;0,98715;4.761.357;49,48
30;Homens;2022;BR;Brasil;0,00265;2,52716;0,01315;95.014;1.249;471.980;0,98617;4.283.231;45,08
35;Homens;2022;BR;Brasil;0,00298;2,57312;0,0148;93.765;1.388;465.455;0,98323;3.811.251;40,65
40;Homens;2022;BR;Brasil;0,00387;2,61011;0,01919;92.377;1.773;457.647;0,97769;3.345.796;36,22
45;Homens;2022;BR;Brasil;0,00526;2,6277;0,02597;90.604;2.353;447.438;0,96896;2.888.149;31,88
50;Homens;2022;BR;Brasil;0,00754;2,6419;0,03702;88.251;3.267;433.551;0,95482;2.440.711;27,66
55;Homens;2022;BR;Brasil;0,0112;2,63767;0,05458;84.984;4.638;413.962;0,9343;2.007.160;23,62
60;Homens;2022;BR;Brasil;0,01632;2,62951;0,07857;80.346;6.313;386.762;0,90406;1.593.198;19,83
65;Homens;2022;BR;Brasil;0,02456;2,61258;0,11601;74.032;8.589;349.658;0,86158;1.206.435;16,3
70;Homens;2022;BR;Brasil;0,03582;2,59449;0,1649;65.444;10.792;301.259;0,79967;856.778;13,09
75;Homens;2022;BR;Brasil;0,05531;2,57222;0,24383;54.652;13.326;240.908;0,7038;555.518;10,16
80;Homens;2022;BR;Brasil;0,08809;2,51741;0,36141;41.326;14.936;169.552;0,56614;314.610;7,61
85;Homens;2022;BR;Brasil;0,14511;2,41828;0,52781;26.390;13.929;95.991;0,33826;145.059;5,5
90;Homens;2022;BR;Brasil;0,25396;3,93762;1;12.461;12.461;49.068; -   ;49.068;3,94
0;Mulheres;2023;BR;Brasil;0,01153;0,08424;0,01141;100.000;1.141;98.955;0,98775;7.968.175;79,68
1;Mulheres;2023;BR;Brasil;0,00052;1,50542;0,00209;98.859;207;394.919;0,99815;7.869.220;79,6
5;Mulheres;2023;BR;Brasil;0,00023;2,31707;0,00114;98.652;112;492.959;0,99893;7.474.301;75,76
10;Mulheres;2023;BR;Brasil;0,00023;2,6204;0,00114;98.540;112;492.432;0,99846;6.981.342;70,85
15;Mulheres;2023;BR;Brasil;0,00041;2,69059;0,00203;98.428;200;491.675;0,99755;6.488.910;65,93
20;Mulheres;2023;BR;Brasil;0,00057;2,61796;0,00285;98.227;280;490.470;0,99678;5.997.235;61,05
25;Mulheres;2023;BR;Brasil;0,00072;2,59738;0,0036;97.947;353;488.889;0,99594;5.506.766;56,22
30;Mulheres;2023;BR;Brasil;0,00092;2,61296;0,00458;97.595;447;486.906;0,99467;5.017.876;51,42
35;Mulheres;2023;BR;Brasil;0,00125;2,6419;0,00624;97.148;606;484.309;0,99241;4.530.970;46,64
40;Mulheres;2023;BR;Brasil;0,00184;2,64855;0,00914;96.541;883;480.631;0,98908;4.046.661;41,92
45;Mulheres;2023;BR;Brasil;0,0026;2,6461;0,01293;95.659;1.237;475.382;0,98433;3.566.030;37,28
50;Mulheres;2023;BR;Brasil;0,0038;2,65174;0,01883;94.422;1.778;467.933;0,9771;3.090.648;32,73
55;Mulheres;2023;BR;Brasil;0,0056;2,65701;0,02764;92.644;2.560;457.219;0,96585;2.622.714;28,31
60;Mulheres;2023;BR;Brasil;0,00854;2,66329;0,04186;90.083;3.771;441.605;0,94745;2.165.495;24,04
65;Mulheres;2023;BR;Brasil;0,01336;2,64453;0,06474;86.312;5.588;418.399;0,92247;1.723.891;19,97
70;Mulheres;2023;BR;Brasil;0,01953;2,65725;0,09338;80.724;7.538;385.961;0,87737;1.305.492;16,17
75;Mulheres;2023;BR;Brasil;0,03454;2,66573;0,15981;73.186;11.696;338.630;0,79233;919.531;12,56
80;Mulheres;2023;BR;Brasil;0,06112;2,61294;0,2667;61.491;16.399;268.307;0,66023;580.900;9,45
85;Mulheres;2023;BR;Brasil;0,10944;2,50803;0,42995;45.091;19.387;177.145;0,43331;312.593;6,93
90;Mulheres;2023;BR;Brasil;0,18977;5,26948;1;25.704;25.704;135.449; -   ;135.449;5,27
0;Homens;2023;BR;Brasil;0,01363;0,08121;0,01346;100.000;1.346;98.763;0,98564;7.306.957;73,07
1;Homens;2023;BR;Brasil;0,00059;1,61241;0,00237;98.654;233;394.057;0,99785;7.208.194;73,07
5;Homens;2023;BR;Brasil;0,00026;2,36549;0,00131;98.420;129;491.762;0,99869;6.814.137;69,24
10;Homens;2023;BR;Brasil;0,00032;2,84421;0,00161;98.291;158;491.117;0,99624;6.322.376;64,32
15;Homens;2023;BR;Brasil;0,00137;2,90984;0,00682;98.134;670;489.268;0,99052;5.831.259;59,42
20;Homens;2023;BR;Brasil;0,00233;2,6221;0,0116;97.464;1.130;484.632;0,9877;5.341.991;54,81
25;Homens;2023;BR;Brasil;0,00252;2,51284;0,01251;96.334;1.205;478.671;0,98746;4.857.359;50,42
30;Homens;2023;BR;Brasil;0,00254;2,52421;0,01264;95.129;1.202;472.667;0,98664;4.378.688;46,03
35;Homens;2023;BR;Brasil;0,0029;2,57362;0,0144;93.926;1.353;466.350;0,98375;3.906.021;41,59
40;Homens;2023;BR;Brasil;0,00373;2,60476;0,01848;92.574;1.710;458.772;0,97872;3.439.670;37,16
45;Homens;2023;BR;Brasil;0,00498;2,62586;0,0246;90.863;2.235;449.011;0,9705;2.980.898;32,81
50;Homens;2023;BR;Brasil;0,00717;2,63909;0,03525;88.628;3.124;435.766;0,95747;2.531.887;28,57
55;Homens;2023;BR;Brasil;0,01043;2,63478;0,05088;85.504;4.350;417.231;0,93876;2.096.122;24,51
60;Homens;2023;BR;Brasil;0,0152;2,63283;0,07334;81.154;5.952;391.680;0,91;1.678.891;20,69
65;Homens;2023;BR;Brasil;0,02296;2,60783;0,10884;75.202;8.185;356.430;0,87277;1.287.211;17,12
70;Homens;2023;BR;Brasil;0,03208;2,59465;0,14891;67.017;9.979;311.080;0,81823;930.782;13,89
75;Homens;2023;BR;Brasil;0,04985;2,58429;0,22247;57.037;12.689;254.534;0,72902;619.702;10,86
80;Homens;2023;BR;Brasil;0,07915;2,53653;0,33117;44.348;14.687;185.561;0,59842;365.168;8,23
85;Homens;2023;BR;Brasil;0,13109;2,44016;0,49076;29.661;14.557;111.044;0,38174;179.607;6,06
90;Homens;2023;BR;Brasil;0,22031;4,53916;1;15.105;15.105;68.563; -   ;68.563;4,54
0;Mulheres;2019;NO;Norte;0,01366;0,09049;0,0135;100.000;1.350;98.772;0,98537;7.921.878;79,22
1;Mulheres;2019;NO;Norte;0,0007;1,50203;0,0028;98.650;276;393.912;0,99762;7.823.106;79,3
5;Mulheres;2019;NO;Norte;0,00027;2,31107;0,00136;98.374;134;491.512;0,99867;7.429.194;75,52
10;Mulheres;2019;NO;Norte;0,0003;2,64735;0,00148;98.241;146;490.860;0,99792;6.937.682;70,62
15;Mulheres;2019;NO;Norte;0,00055;2,65571;0,00277;98.095;271;489.838;0,99701;6.446.822;65,72
20;Mulheres;2019;NO;Norte;0,00063;2,57855;0,00315;97.823;308;488.372;0,99642;5.956.984;60,9
25;Mulheres;2019;NO;Norte;0,00081;2,58345;0,00406;97.516;396;486.623;0,99564;5.468.611;56,08
30;Mulheres;2019;NO;Norte;0,00095;2,60374;0,00473;97.120;459;484.500;0,99436;4.981.988;51,3
35;Mulheres;2019;NO;Norte;0,00135;2,63939;0,00673;96.661;650;481.769;0,99202;4.497.488;46,53
40;Mulheres;2019;NO;Norte;0,00188;2,62465;0,00934;96.010;897;477.922;0,98922;4.015.719;41,83
45;Mulheres;2019;NO;Norte;0,0025;2,63539;0,01244;95.114;1.183;472.771;0,98494;3.537.797;37,2
50;Mulheres;2019;NO;Norte;0,00368;2,66645;0,01827;93.931;1.716;465.649;0,97703;3.065.026;32,63
55;Mulheres;2019;NO;Norte;0,00577;2,67006;0,02848;92.215;2.626;454.955;0,96471;2.599.377;28,19
60;Mulheres;2019;NO;Norte;0,00883;2,66683;0,04326;89.589;3.876;438.900;0,94509;2.144.422;23,94
65;Mulheres;2019;NO;Norte;0,01404;2,63744;0,06796;85.713;5.825;414.802;0,92045;1.705.521;19,9
70;Mulheres;2019;NO;Norte;0,01966;2,65025;0,09394;79.888;7.505;381.804;0,87598;1.290.720;16,16
75;Mulheres;2019;NO;Norte;0,03516;2,66467;0,16246;72.383;11.759;334.453;0,78976;908.916;12,56
80;Mulheres;2019;NO;Norte;0,06158;2,60361;0,26832;60.624;16.266;264.137;0,66305;574.463;9,48
85;Mulheres;2019;NO;Norte;0,10703;2,51116;0,42257;44.357;18.744;175.136;0,43564;310.326;7
90;Mulheres;2019;NO;Norte;0,18946;5,27814;1;25.613;25.613;135.191; -   ;135.191;5,28
0;Homens;2019;NO;Norte;0,01666;0,08969;0,01641;100.000;1.641;98.506;0,98231;7.237.015;72,37
1;Homens;2019;NO;Norte;0,00083;1,60352;0,00333;98.359;328;392.649;0,99705;7.138.509;72,58
5;Homens;2019;NO;Norte;0,00035;2,36069;0,00173;98.031;169;489.708;0,99824;6.745.860;68,81
10;Homens;2019;NO;Norte;0,00044;2,87258;0,00222;97.862;217;488.848;0,9944;6.256.152;63,93
15;Homens;2019;NO;Norte;0,00208;2,90476;0,01033;97.645;1.009;486.111;0,98641;5.767.304;59,06
20;Homens;2019;NO;Norte;0,00316;2,57477;0,01568;96.636;1.515;479.506;0,98427;5.281.193;54,65
25;Homens;2019;NO;Norte;0,00307;2,48451;0,01522;95.121;1.448;471.964;0,98493;4.801.687;50,48
30;Homens;2019;NO;Norte;0,00302;2,49883;0,01501;93.673;1.406;464.851;0,98481;4.329.723;46,22
35;Homens;2019;NO;Norte;0,00314;2,53362;0,0156;92.268;1.439;457.788;0,98327;3.864.873;41,89
40;Homens;2019;NO;Norte;0,00367;2,56983;0,01818;90.828;1.651;450.130;0,97993;3.407.084;37,51
45;Homens;2019;NO;Norte;0,00456;2,61786;0,02255;89.178;2.011;441.097;0,97259;2.956.954;33,16
50;Homens;2019;NO;Norte;0,00676;2,64553;0,03326;87.166;2.900;429.005;0,95991;2.515.857;28,86
