Region;Period;Cause_death;Sex;Age.Group;obitos_corrigidos1;obitos_corrigidos2;Pop_ajustada;Pop_ajustada;nmx_cause_ajustado.1;nmx_cause_ajustado.2
AR;2019/2020;Respiratory;Female;50;363,9075939;371,5841885;1215984,229;1222554,587;0,00029927;0,000303941
AR;2019/2020;Pregnancy;Female;50;0;0;1215984,229;1222554,587;0;0
AR;2019/2020;External_causes;Female;50;214,9872774;155,5239592;1215984,229;1222554,587;0,000176801;0,000127212
AR;2019/2020;Undefined ;Female;50;198,6907378;213,7934679;1215984,229;1222554,587;0,000163399;0,000174874
AR;2019/2020;All_other_causes;Female;50;629,5964923;640,434351;1215984,229;1222554,587;0,000517767;0,000523849
AR;2019/2020;All_causes;Female;50;4135,542793;4619,458392;1215984,229;1222554,587;0,003400984;0,003778529
AR;2019/2020;Infec_parasit;Female;55;264,4530387;264,3883469;1104488,988;1109936,744;0,000239435;0,000238201
AR;2019/2020;Covid;Female;55;0;975,5783904;1104488,988;1109936,744;0;0,00087895
AR;2019/2020;Neoplasms;Female;55;2567,020854;2424,194413;1104488,988;1109936,744;0,002324171;0,002184083
AR;2019/2020;Circulatory;Female;55;1196,261082;1139,152979;1104488,988;1109936,744;0,00108309;0,001026322
AR;2019/2020;Respiratory;Female;55;703,6887174;639,4470452;1104488,988;1109936,744;0,000637117;0,000576111
AR;2019/2020;Pregnancy;Female;55;0;0;1104488,988;1109936,744;0;0
AR;2019/2020;External_causes;Female;55;183,6980492;140,2765122;1104488,988;1109936,744;0,000166319;0,000126382
AR;2019/2020;Undefined ;Female;55;289,0047096;321,1920645;1104488,988;1109936,744;0,000261664;0,000289379
AR;2019/2020;All_other_causes;Female;55;1056,974789;989,7485507;1104488,988;1109936,744;0,000956981;0,000891716
AR;2019/2020;All_causes;Female;55;6261,10124;6893,978301;1104488,988;1109936,744;0,005668777;0,006211145
AR;2019/2020;Infec_parasit;Female;60;374,0552486;379,8301109;1012569,966;1019167,233;0,000369412;0,000372687
AR;2019/2020;Covid;Female;60;0;1570,418631;1012569,966;1019167,233;0;0,001540884
AR;2019/2020;Neoplasms;Female;60;3195,966081;3260,054235;1012569,966;1019167,233;0,003156292;0,003198743
AR;2019/2020;Circulatory;Female;60;1945,180835;1915,345476;1012569,966;1019167,233;0,001921034;0,001879324
AR;2019/2020;Respiratory;Female;60;1220,39729;1046,276346;1012569,966;1019167,233;0,001205247;0,001026599
AR;2019/2020;Pregnancy;Female;60;0;0;1012569,966;1019167,233;0;0
AR;2019/2020;External_causes;Female;60;213,9779474;149,4249804;1012569,966;1019167,233;0,000211322;0,000146615
AR;2019/2020;Undefined ;Female;60;494,7198674;450,6726154;1012569,966;1019167,233;0,000488578;0,000442197
AR;2019/2020;All_other_causes;Female;60;1488,073167;1484,945759;1012569,966;1019167,233;0,0014696;0,001457019
AR;2019/2020;All_causes;Female;60;8932,370436;10256,96815;1012569,966;1019167,233;0,008821485;0,010064068
AR;2019/2020;Infec_parasit;Female;65;528,9060773;497,2748382;900630,5447;909374,2017;0,000587262;0,000546832
AR;2019/2020;Covid;Female;65;0;2180,407603;900630,5447;909374,2017;0;0,002397701
AR;2019/2020;Neoplasms;Female;65;3833,953651;3760,364562;900630,5447;909374,2017;0,004256966;0,004135112
AR;2019/2020;Circulatory;Female;65;2924,305452;2805,151642;900630,5447;909374,2017;0,003246953;0,003084706
AR;2019/2020;Respiratory;Female;65;1882,869954;1682,702382;900630,5447;909374,2017;0,002090613;0,001850396
AR;2019/2020;Pregnancy;Female;65;0;0;900630,5447;909374,2017;0;0
